Rank,Title,Year,Rating,Genres
229,Ben-Hur,1959,8.1,['Other']
230,In the Name of the Father,1993,8.1,['Other']
231,The Third Man,1949,8.1,['War']
232,The Seventh Seal,1957,8.1,['Other']
233,Hotel Rwanda,2004,8.1,['Other']
234,The Bridge on the River Kwai,1957,8.1,['Other']
235,On the Waterfront,1954,8.1,['Other']
236,Mary and Max,2009,8.1,['Other']
237,The Battle of Algiers,1966,8.1,['Other']
238,Rashomon,1950,8.1,['Other']
239,Wild Strawberries,1957,8.1,['Other']
240,The Grapes of Wrath,1940,8.1,"['War', 'Family']"
241,Tokyo Story,1953,8.1,['Other']
242,The Best Years of Our Lives,1946,8.1,['War']
243,The Wages of Fear,1953,8.1,['Other']
244,Mr. Smith Goes to Washington,1939,8.1,['Other']
245,To Be or Not to Be,1942,8.1,['Other']
246,The General,1926,8.1,['Other']
247,The Passion of Joan of Arc,1928,8.1,['Other']
248,The Gold Rush,1925,8.1,['Other']
249,Sherlock Jr.,1924,8.1,['Other']
250,The Incredibles,2004,8.0,"['Action', 'Family']"
